ÐòºÅ,´É×©ÑÕÉ«±àºÅ
1,11
2,11
3,11
4,11
5,2
6,11
7,17
8,11
9,17
10,11
11,17
12,4
13,9
14,9
15,11
16,11
17,2
18,11
19,17
20,11
21,6
22,11
23,6
24,2
25,22
26,9
27,18
28,9
29,2
30,11
31,6
32,11
33,6
34,11
35,10
36,2
37,19
38,18
39,20
40,18
41,2
42,9
43,14
44,11
45,14
46,11
47,14
48,2
49,20
50,22
51,12
52,22
53,2
54,18
55,7
56,9
57,5
58,11
59,14
60,2
61,20
62,22
63,16
64,22
65,2
66,22
67,7
68,22
69,3
70,18
71,5
72,2
73,16
74,16
75,16
76,16
77,16
78,16
79,16
80,16
81,16
82,16
83,16
84,16
85,19
86,20
87,11
88,22
89,11
90,22
91,9
92,22
93,22
94,22
95,22
96,22
97,19
98,20
99,6
100,18
101,14
102,11
103,17
104,11
105,11
106,11
107,11
108,11
109,19
110,20
111,4
112,18
113,5
114,11
115,3
116,2
117,10
118,2
119,17
120,17
121,19
122,20
123,11
124,18
125,17
126,11
127,10
128,6
129,10
130,14
131,17
132,14
133,20
134,20
135,9
136,18
137,4
138,11
139,17
140,6
141,17
142,5
143,17
144,3
145,6
146,21
147,6
148,21
149,17
150,21
151,11
152,21
153,18
154,21
155,20
156,13
157,6
158,21
159,6
160,21
161,17
162,21
163,11
164,21
165,18
166,21
167,20
168,13
169,6
170,21
171,6
172,21
173,17
174,21
175,11
176,21
177,18
178,21
179,20
180,13
181,4
182,21
183,4
184,21
185,4
186,21
187,11
188,21
189,18
190,21
191,20
192,13
193,9
194,21
195,9
196,21
197,9
198,21
199,9
200,21
201,18
202,21
203,20
204,13
205,19
206,21
207,19
208,21
209,19
210,21
211,19
212,21
213,19
214,21
215,20
216,13
